,Shareholders_Funds,Secured_Loans,Debt___Loan_Funds,Liabilities,Sundry_Debtors,Inventories,Cash_and_Bank_Balance,Current_Assets,Current_Liabilities,Sales_Turnover___Operating_Incom,Net_Sales,Income,Operating_Profit,Rating
5576,1918.26,1170.39,1467.17,3391.26,2153.19,214.63,466.97,3315.15,997.47,3879.76,3879.76,3991.91,798.78,0
5577,1436.97,824.1,873.31,2314.62,1320.96,126.46,708.57,2766.6,738.57,2483.34,2483.34,2558.92,521.7,0
5578,437.71,556.65,556.65,997.89,562.32,123.01,3.14,1060.37,354.36,1396.85,1396.85,1424.69,204.13,0
5579,292.79,375.49,375.49,671.38,448.55,71.35,0.86,693.2,215.99,999.45,999.45,1008.15,197.13,0
5580,134.89,120.31,120.31,257.94,73.84,99.7,38.97,238.67,133.48,621.61,621.61,623.04,142.2,0
5581,35.05,16.61,96.61,134.24,0.0,63.62,1.42,78.86,66.85,71.92,71.92,96.02,12.69,0
5582,28.64,0.0,57.0,87.37,8.64,11.59,4.77,28.48,20.09,7.85,7.85,7.86,-0.96,0
5583,-1.8,38.44,39.45,38.52,4.13,15.22,0.2,24.25,14.29,85.07,85.07,83.55,-1.59,1
5584,7.17,36.1,37.1,45.05,7.75,14.56,2.42,29.68,13.78,98.49,98.49,102.2,5.95,1
5585,7.6,28.16,28.23,36.61,8.18,10.09,1.01,24.76,18.09,110.99,110.99,110.24,6.86,1
5586,3.95,54.19,58.89,63.7,3.94,21.61,1.58,35.97,19.29,105.85,105.85,108.57,3.05,1
5587,6.79,43.04,45.76,53.36,7.35,21.79,1.58,40.46,23.63,122.9,122.9,130.87,7.46,1
5588,7.1,34.17,35.67,43.49,7.82,16.34,1.16,34.0,26.32,144.21,144.21,151.65,8.68,1
5589,6.66,13.2,13.2,19.86,0.42,0.13,1.03,8.77,0.84,4.25,4.25,4.77,1.86,0
5590,6.45,12.98,12.98,19.43,0.41,0.07,0.86,7.76,0.84,5.42,5.42,5.64,2.06,0
